neighborhood_municipality,individuals_tested,infections,reinfections,deaths,hospitalizations,tests,postives,ag_tests,positive_ag_tests,pcr_tests,positive_pcr_tests,update_date
Brackenridge,2471,4512,262,25,67,9727,970,1848,194,7880,775,2022-04-11
Braddock,1383,1891,115,1,41,4903,570,1017,65,3889,505,2022-04-11
Braddock Hills,1045,1378,131,3,21,3702,420,709,73,2997,347,2022-04-11
Bradford Woods,821,717,34,1,4,2162,275,466,56,1682,219,2022-04-11
Brentwood,6674,9662,616,19,78,22154,2792,5740,674,16409,2112,2022-04-11
Bridgeville,3447,5316,276,16,52,11480,1575,3444,446,8015,1118,2022-04-11
Brighton Heights (Pittsburgh),5086,6895,577,12,91,17302,1955,3519,324,13771,1631,2022-04-11
Brookline (Pittsburgh),8756,11597,783,21,122,28856,3450,7433,873,21394,2569,2022-04-11
California-Kirkbride (Pittsburgh),451,756,23,3,4,1696,184,287,21,1409,163,2022-04-11
Carnegie,5474,7006,544,11,62,17419,2166,4807,561,12610,1600,2022-04-11
Carrick (Pittsburgh),6310,8110,597,28,132,20256,2575,4596,562,15653,2010,2022-04-11
Castle Shannon,5392,7427,434,11,50,18194,2181,4877,612,13312,1564,2022-04-11
Central Business District (Pittsburgh),5630,5008,191,0,23,18094,1254,3532,242,14555,1006,2022-04-11
Central Lawrenceville (Pittsburgh),3650,4660,295,20,40,14661,999,2422,171,12224,824,2022-04-11
Central Northside (Pittsburgh),2316,2797,200,4,35,8214,769,1335,108,6878,660,2022-04-11
Central Oakland (Pittsburgh),3355,4836,140,1,6,15116,1041,1733,145,13388,893,2022-04-11
Chalfant,532,567,13,1,7,1716,174,413,41,1305,133,2022-04-11
Chartiers City (Pittsburgh),324,387,36,1,8,1040,149,217,24,822,125,2022-04-11
Chateau (Pittsburgh),253,85,0,0,0,376,38,53,4,323,34,2022-04-11
Cheswick,1039,1371,91,2,26,3642,390,1359,77,2282,313,2022-04-11
Churchill,2169,2028,82,5,24,6538,638,1484,165,5051,471,2022-04-11
Clairton,4244,6600,588,16,104,14879,1829,3377,307,11510,1522,2022-04-11
Collier,6268,7773,528,10,46,19064,2390,5450,679,13568,1694,2022-04-11
Coraopolis,3509,5543,576,12,45,11941,1472,4052,362,7888,1106,2022-04-11
Crafton,3884,5311,240,15,52,12923,1697,3289,414,9625,1280,2022-04-11
Crafton Heights (Pittsburgh),2598,3081,167,5,33,7681,1001,1719,184,5958,817,2022-04-11
Crawford-Roberts (Pittsburgh),1853,2210,256,12,73,6093,646,1212,62,4882,584,2022-04-11
Crescent,1480,1864,125,10,21,4227,632,1180,227,3052,404,2022-04-11
Dormont,5698,6899,400,5,48,18270,2005,4862,476,13402,1525,2022-04-11
Dravosburg,990,1735,61,5,20,3782,426,867,101,2918,325,2022-04-11
Duquesne,3272,5381,425,24,109,11383,1497,2137,195,9251,1302,2022-04-11
Duquesne Heights (Pittsburgh),1767,2680,150,5,18,6515,748,1737,196,4769,548,2022-04-11
East Allegheny (Pittsburgh),1367,1802,148,5,29,4461,494,724,64,3737,430,2022-04-11
East Carnegie (Pittsburgh),341,611,46,2,12,1221,165,263,31,950,132,2022-04-11
East Deer,901,1585,99,1,19,3439,363,988,85,2447,278,2022-04-11
East Hills (Pittsburgh),1769,2315,161,7,55,5523,696,924,90,4605,606,2022-04-11
East Liberty (Pittsburgh),4833,6008,522,34,112,17392,1586,2773,198,14606,1386,2022-04-11
East Mckeesport,1304,1870,102,5,32,3905,579,854,122,3048,455,2022-04-11
East Pittsburgh,1189,1926,285,6,42,4350,491,865,66,3489,425,2022-04-11
Edgewood,2489,2370,95,0,9,8749,614,1398,95,7348,515,2022-04-11
Edgeworth,1296,1332,229,1,1,4106,288,1047,74,3048,212,2022-04-11
Elizabeth Borough,948,1368,117,5,22,3215,452,823,106,2391,346,2022-04-11
Elizabeth Township,8421,11966,786,36,180,26706,3917,7096,963,19583,2946,2022-04-11
Elliott (Pittsburgh),1461,2158,139,6,29,4749,627,1158,120,3588,507,2022-04-11
Emsworth,2385,2554,144,0,18,6573,798,1672,131,4893,663,2022-04-11
Esplen (Pittsburgh),145,250,42,0,7,710,74,124,7,587,67,2022-04-11
Etna,2237,3018,195,4,30,7133,852,1892,198,5234,653,2022-04-11
Fairywood (Pittsburgh),1458,4217,475,1,18,8092,503,798,65,7293,437,2022-04-11
Fawn,1251,1591,98,3,27,3696,499,1074,118,2623,381,2022-04-11
Findlay,3690,4352,297,8,46,10322,1441,3334,455,6973,979,2022-04-11
Fineview (Pittsburgh),670,833,69,3,16,2068,239,350,40,1711,199,2022-04-11
Forest Hills,4345,4736,282,8,46,13907,1446,2775,291,11140,1154,2022-04-11
Forward,1858,2800,109,11,34,5782,817,1629,240,4150,577,2022-04-11
Fox Chapel,4542,3259,198,3,20,12788,989,2939,244,9821,741,2022-04-11
Franklin Park,10938,9875,438,23,65,30698,3214,7792,692,22837,2513,2022-04-11
Frazer,689,1118,123,2,13,2295,305,645,85,1649,218,2022-04-11
Friendship (Pittsburgh),1713,1500,35,0,5,6257,403,684,50,5568,351,2022-04-11
Garfield (Pittsburgh),2561,3994,250,19,62,10129,947,1850,129,8282,817,2022-04-11
Glassport,2874,4582,287,13,79,9854,1291,2320,248,7539,1040,2022-04-11
Glen Hazel (Pittsburgh),904,4886,420,25,50,10402,388,5546,33,4859,354,2022-04-11
Glen Osborne,390,630,65,0,1,1333,101,319,29,1015,72,2022-04-11
Glenfield,122,132,11,0,3,358,50,89,10,268,40,2022-04-11
Green Tree,3791,4701,264,6,49,11379,1469,3255,418,8110,1045,2022-04-11
Greenfield (Pittsburgh),5403,6377,358,8,67,19377,1777,2809,171,16566,1606,2022-04-11
Hampton,12274,12340,597,28,104,35864,4110,10662,1229,25075,2851,2022-04-11
Harmar,2204,6330,698,30,58,11613,822,4460,200,7137,619,2022-04-11
Harrison,6126,7967,440,20,126,19160,2596,4970,603,14193,1992,2022-04-11
Hays (Pittsburgh),212,234,8,1,2,545,70,98,9,447,61,2022-04-11
Haysville,41,82,32,0,0,263,14,34,2,229,12,2022-04-11
Hazelwood (Pittsburgh),2597,3770,434,9,65,9088,1013,1922,120,7165,892,2022-04-11
Heidelberg,813,1165,130,3,11,2574,328,670,96,1911,232,2022-04-11
Highland Park (Pittsburgh),5357,5291,391,10,45,27313,1317,4022,209,23291,1108,2022-04-11
Homestead,1883,3110,433,9,62,7286,775,1548,92,5736,682,2022-04-11
Homewood North (Pittsburgh),1586,2219,173,7,65,5569,618,1122,73,4445,545,2022-04-11
Homewood South (Pittsburgh),1509,2570,120,8,70,5679,573,1194,72,4486,501,2022-04-11
Homewood West (Pittsburgh),385,572,42,0,11,1478,144,293,26,1186,118,2022-04-11
Indiana,4942,8931,882,21,69,19559,1698,6928,463,12618,1227,2022-04-11
Ingram,2105,2856,182,6,29,6801,860,1659,164,5146,696,2022-04-11
Jefferson Hills,8834,14617,1302,52,151,33386,3892,7622,1057,25746,2821,2022-04-11
Kennedy,6356,10873,509,40,82,26848,2383,9934,682,16946,1694,2022-04-11
Kilbuck,518,487,22,0,3,1389,173,426,37,954,136,2022-04-11
Knoxville (Pittsburgh),2103,2991,307,4,47,7010,870,1598,120,5417,750,2022-04-11
Larimer (Pittsburgh),1503,2404,222,12,54,5705,498,757,39,4950,459,2022-04-11
Leet,1031,1032,67,2,9,2753,333,842,101,1898,230,2022-04-11
